t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.0054,-25.0244,-62.8662,-70.8008,-172.424,-107.727,-180.359,-313.416,-241.394,-141.602,-109.863,-182.495,-85.4492,-76.5991,-132.446,-98.2666
0.00545,-24.7192,-62.8662,-71.4111,-172.119,-107.422,-180.969,-313.11,-241.089,-141.907,-109.558,-182.495,-85.7544,-76.5991,-132.141,-98.5718
0.0055,-24.7192,-62.8662,-72.0215,-171.814,-107.727,-180.969,-313.11,-241.394,-141.602,-108.948,-182.8,-86.0596,-76.2939,-132.141,-98.5718
0.00555,-25.0244,-63.1714,-71.7163,-172.119,-108.032,-181.885,-313.721,-241.699,-141.296,-108.643,-183.105,-85.7544,-76.2939,-132.446,-98.5718
0.0056,-25.0244,-63.1714,-71.7163,-171.814,-108.032,-182.19,-314.331,-241.394,-141.296,-108.337,-183.105,-86.0596,-76.2939,-132.446,-98.877
0.00565,-25.0244,-62.8662,-71.7163,-171.204,-108.337,-181.885,-314.636,-241.699,-141.602,-108.948,-183.105,-85.7544,-76.2939,-132.141,-98.5718
0.0057,-25.0244,-62.2559,-71.7163,-171.204,-108.643,-181.885,-315.247,-241.699,-141.602,-108.948,-183.105,-85.7544,-75.9888,-132.446,-98.5718
0.00575,-24.7192,-61.9507,-71.4111,-170.898,-108.643,-182.19,-315.247,-241.394,-141.296,-108.948,-182.8,-85.4492,-76.2939,-132.446,-98.877
0.0058,-25.0244,-62.2559,-71.106,-170.593,-108.948,-182.19,-315.552,-241.089,-140.991,-109.558,-182.19,-85.7544,-76.9043,-132.751,-98.877
0.00585,-25.0244,-62.2559,-71.106,-170.288,-109.558,-181.885,-315.857,-241.394,-141.296,-109.863,-182.19,-85.144,-76.9043,-132.751,-98.5718
0.0059,-24.4141,-61.3403,-71.106,-169.678,-109.558,-182.19,-315.857,-240.784,-141.907,-109.863,-181.274,-85.4492,-77.2095,-132.751,-98.877
0.00595,-24.7192,-61.3403,-71.106,-169.373,-110.168,-183.105,-315.247,-240.479,-141.602,-110.168,-181.274,-85.4492,-77.5146,-132.446,-98.877
0.006,-24.7192,-61.3403,-71.4111,-169.983,-110.779,-183.411,-314.636,-240.479,-141.907,-110.168,-182.19,-85.7544,-77.2095,-132.751,-98.5718
0.00605,-24.4141,-61.0352,-71.106,-169.678,-110.474,-184.021,-314.636,-240.784,-142.212,-110.779,-182.19,-85.7544,-77.5146,-132.751,-98.877
0.0061,-24.4141,-60.73,-71.106,-169.373,-110.474,-184.021,-314.331,-241.089,-143.127,-111.084,-182.19,-85.7544,-77.2095,-132.446,-98.5718
0.00615,-24.4141,-60.73,-71.7163,-169.983,-110.474,-184.631,-314.026,-240.479,-144.043,-111.389,-182.19,-85.7544,-77.2095,-131.836,-98.877
0.0062,-23.8037,-60.4248,-72.6318,-170.288,-110.474,-185.242,-314.026,-240.173,-144.348,-111.694,-181.885,-86.0596,-77.5146,-131.531,-99.4873
0.00625,-24.4141,-60.4248,-72.937,-170.898,-110.474,-185.547,-314.026,-240.479,-144.958,-111.389,-181.885,-86.3647,-77.8198,-130.92,-98.877
0.0063,-24.1089,-60.73,-73.8525,-170.898,-110.168,-185.852,-313.721,-239.868,-145.874,-112.305,-181.58,-86.3647,-78.125,-130.615,-99.1821
0.00635,-23.8037,-60.1196,-75.0732,-170.898,-109.253,-185.547,-314.026,-239.563,-146.484,-112.915,-181.274,-86.3647,-77.8198,-130.615,-99.4873
0.0064,-23.8037,-59.8145,-76.2939,-170.898,-108.948,-185.852,-313.11,-238.953,-147.095,-112.915,-180.969,-86.3647,-77.5146,-130.31,-99.4873
0.00645,-24.4141,-59.8145,-76.9043,-170.898,-108.948,-186.768,-312.805,-238.953,-147.4,-113.22,-180.664,-86.6699,-77.8198,-129.7,-100.098
0.0065,-24.4141,-59.5093,-77.8198,-171.204,-108.337,-186.768,-312.805,-238.647,-147.4,-113.525,-180.664,-86.9751,-77.8198,-130.005,-100.098
0.00655,-24.4141,-59.2041,-78.4302,-171.204,-108.032,-186.462,-312.5,-238.647,-147.4,-114.441,-180.054,-86.3647,-77.2095,-130.005,-100.403
0.0066,-24.4141,-58.8989,-79.0405,-171.814,-107.727,-187.073,-312.195,-238.647,-147.705,-114.746,-179.749,-85.7544,-76.9043,-130.31,-100.708
0.00665,-24.4141,-58.5938,-79.3457,-172.119,-107.117,-187.378,-312.195,-238.647,-148.01,-114.746,-179.749,-86.0596,-76.5991,-130.005,-101.318
0.0067,-24.4141,-58.2886,-79.9561,-173.035,-106.812,-187.378,-312.195,-238.647,-147.705,-115.356,-179.749,-85.7544,-76.2939,-129.7,-101.013
0.00675,-24.7192,-58.2886,-80.5664,-174.255,-106.506,-187.378,-311.89,-238.953,-148.01,-115.356,-179.749,-85.4492,-76.5991,-130.005,-101.318
0.0068,-24.7192,-58.2886,-80.5664,-174.866,-105.286,-187.378,-311.89,-239.258,-148.01,-115.356,-178.833,-85.144,-76.2939,-129.7,-101.624
0.00685,-24.4141,-57.6782,-81.7871,-175.781,-104.98,-187.378,-311.89,-238.953,-148.621,-115.662,-179.138,-85.144,-76.2939,-129.089,-101.624
0.0069,-24.7192,-58.2886,-82.3975,-176.697,-104.98,-186.768,-311.89,-238.953,-148.926,-115.967,-178.833,-84.5337,-76.2939,-128.784,-102.234
0.00695,-25.0244,-58.2886,-83.0078,-177.307,-104.675,-186.157,-311.584,-239.563,-148.621,-115.967,-179.138,-84.5337,-76.2939,-128.479,-101.929
0.007,-24.7192,-57.9834,-83.6182,-177.917,-104.675,-185.242,-311.89,-239.563,-148.926,-116.272,-178.528,-84.5337,-76.2939,-128.479,-102.234
0.00705,-25.0244,-57.6782,-84.2285,-178.528,-104.37,-184.631,-311.279,-239.258,-149.231,-116.882,-177.917,-84.2285,-75.9888,-128.174,-102.539
0.0071,-25.0244,-57.6782,-84.8389,-178.833,-104.37,-183.716,-310.974,-238.953,-148.926,-117.188,-177.612,-84.5337,-75.9888,-128.174,-103.149
0.00715,-25.0244,-57.6782,-85.144,-178.833,-104.37,-183.716,-310.974,-239.258,-148.621,-117.493,-177.612,-84.2285,-76.2939,-127.563,-103.149
0.0072,-25.0244,-57.6782,-85.7544,-178.223,-104.37,-183.716,-310.669,-239.563,-148.621,-118.103,-177.307,-84.5337,-76.5991,-127.258,-103.455
0.00725,-24.7192,-57.373,-86.0596,-177.917,-104.37,-183.105,-310.669,-239.563,-148.621,-118.713,-177.002,-83.6182,-76.2939,-127.563,-103.149
0.0073,-24.4141,-57.0679,-86.6699,-177.612,-104.065,-183.411,-310.974,-239.563,-148.621,-118.408,-177.002,-83.6182,-76.5991,-126.953,-103.149
0.00735,-24.4141,-57.6782,-86.9751,-177.307,-104.065,-183.411,-310.974,-239.868,-148.621,-118.408,-177.307,-83.313,-76.5991,-127.563,-103.149
0.0074,-24.7192,-57.9834,-86.9751,-177.612,-104.37,-183.411,-311.279,-239.563,-148.315,-118.713,-177.307,-83.0078,-76.9043,-127.563,-103.149
0.00745,-24.1089,-57.6782,-87.5854,-177.612,-104.37,-182.495,-311.584,-240.173,-148.315,-118.713,-177.002,-82.7026,-76.9043,-127.563,-103.149
0.0075,-24.1089,-57.373,-87.8906,-177.307,-104.37,-182.19,-311.584,-239.563,-148.315,-118.713,-177.307,-82.3975,-76.9043,-127.563,-103.149
0.00755,-24.7192,-57.373,-87.5854,-177.612,-104.98,-181.885,-311.279,-239.563,-148.01,-118.408,-177.612,-82.7026,-76.9043,-127.563,-103.149
0.0076,-24.7192,-57.373,-87.2803,-177.917,-104.98,-181.274,-311.279,-240.173,-148.01,-118.103,-177.917,-82.3975,-76.9043,-127.563,-103.455
0.00765,-25.3296,-57.373,-86.9751,-177.917,-105.591,-180.969,-310.974,-240.479,-148.01,-117.493,-177.917,-82.3975,-77.5146,-127.869,-102.844
